datetime,tempmax,tempmin,temp
2025/3/1,10.6,2.8,5.5
2025/3/2,11.1,1.1,5.3
2025/3/3,12.8,0.3,5.8
2025/3/4,13.8,0.1,6.4
2025/3/5,14.8,0.8,7.2
2025/3/6,17.6,2.8,9.8
2025/3/7,17.6,9.0,13.0
2025/3/8,16.9,7.6,12.2
2025/3/9,17.2,8.6,12.2
2025/3/10,12.5,7.8,10.2
2025/3/11,8.6,5.0,7.2
2025/3/12,7.8,3.6,5.5
2025/3/13,7.0,2.3,4.2
2025/3/14,8.0,-0.1,4.3
2025/3/15,8.2,1.6,4.6
2025/3/16,8.6,0.2,4.9
2025/3/17,8.0,4.0,6.2
2025/3/18,9.6,3.2,5.8
