datetime,tempmax,tempmin,temp
2025/3/1,10.0,-3.7,3.4
2025/3/2,10.3,-2.9,3.8
2025/3/3,11.9,-2.7,5.3
2025/3/4,12.0,-0.5,6.1
2025/3/5,14.2,0.3,6.7
2025/3/6,16.0,2.3,9.0
2025/3/7,16.0,8.1,11.1
2025/3/8,17.0,7.1,11.4
2025/3/9,17.8,4.1,10.6
2025/3/10,9.9,5.8,7.4
2025/3/11,8.1,3.9,5.7
2025/3/12,7.0,1.9,3.9
2025/3/13,6.8,1.0,3.3
2025/3/14,7.9,1.0,4.6
2025/3/15,8.0,0.9,4.3
2025/3/16,8.0,-1.9,4.1
2025/3/17,7.0,4.0,5.4
2025/3/18,11.9,-1.5,5.0
